# Original file: "vega_c95.fits"
# this is the vega spectrum from ATLAS12
# It covers 0.09 - 2.6 microns with uniform spacing of 0.1nm
# downloaded from here: ftp://ftp.stsci.edu/cdbs/grid/k93models/standards/
# see the readme there for more details.
#
# wavelength units are angstroms
# flux units are erg cm-2 s-1 angstrom-1

wavelength flux
900.500 1.68894E-17
901.500 1.73505E-17
902.500 1.78256E-17
903.500 1.82363E-17
904.500 1.87122E-17
905.500 1.93287E-17
906.500 1.98452E-17
907.500 2.03953E-17
908.500 2.09502E-17
909.500 2.15158E-17
910.500 2.20914E-17
911.500 2.31325E-17
912.500 2.37892E-17
913.500 2.68403E-16
914.500 1.48674E-15
915.500 3.49030E-15
916.500 7.61056E-15
917.500 1.04381E-14
918.500 1.53540E-14
919.500 1.33644E-14
920.500 2.20687E-14
921.500 2.53919E-14
922.500 3.01070E-14
923.500 2.03941E-14
924.500 5.45256E-14
925.500 4.23308E-14
926.500 1.94462E-14
927.500 6.64787E-14
928.500 7.72860E-14
929.500 6.69438E-14
930.500 1.90351E-14
931.500 4.91045E-14
932.500 8.69532E-14
933.500 1.06445E-13
934.500 1.11723E-13
935.500 1.06646E-13
936.500 8.00035E-14
937.500 2.67904E-14
938.500 5.28152E-14
939.500 1.11251E-13
940.500 1.31325E-13
941.500 1.46145E-13
942.500 1.60942E-13
943.500 1.60159E-13
944.500 1.81983E-13
945.500 1.29709E-13
946.500 1.63490E-13
947.500 1.60782E-13
948.500 1.13786E-13
949.500 3.10116E-14
950.500 7.63887E-14
951.500 1.70101E-13
952.500 2.03121E-13
953.500 2.10143E-13
954.500 2.72404E-13
955.500 2.84250E-13
956.500 3.32626E-13
957.500 3.57093E-13
958.500 3.47681E-13
959.500 3.71047E-13
960.500 3.56135E-13
961.500 4.02615E-13
962.500 3.86838E-13
963.500 3.89568E-13
964.500 3.64491E-13
965.500 3.92302E-13
966.500 4.38825E-13
967.500 4.35341E-13
968.500 4.15492E-13
969.500 3.61339E-13
970.500 2.80877E-13
971.500 1.59842E-13
972.500 3.16694E-14
973.500 1.35850E-13
974.500 3.00056E-13
975.500 3.96704E-13
976.500 4.82910E-13
977.500 5.37511E-13
978.500 5.49328E-13
979.500 6.01715E-13
980.500 6.06067E-13
981.500 6.46404E-13
982.500 6.30993E-13
983.500 6.58983E-13
984.500 6.34424E-13
985.500 6.23685E-13
986.500 7.19933E-13
987.500 6.24403E-13
988.500 5.32494E-13
989.500 5.61820E-13
990.500 4.53719E-13
991.500 6.10489E-13
992.500 6.09830E-13
993.500 7.03844E-13
994.500 4.86472E-13
995.500 6.10461E-13
996.500 6.36241E-13
997.500 6.02626E-13
998.500 5.87842E-13
999.500 6.37913E-13
1000.500 6.32006E-13
1001.500 6.83235E-13
1002.500 6.68496E-13
1003.500 7.00561E-13
1004.500 6.88351E-13
1005.500 7.02225E-13
1006.500 6.78290E-13
1007.500 6.79505E-13
1008.500 7.30797E-13
1009.500 6.97636E-13
1010.500 7.22907E-13
1011.500 7.42034E-13
1012.500 7.27456E-13
1013.500 7.60289E-13
1014.500 7.68144E-13
1015.500 7.52438E-13
1016.500 8.02273E-13
1017.500 8.16667E-13
1018.500 7.71717E-13
1019.500 7.70654E-13
1020.500 7.21357E-13
1021.500 7.17432E-13
1022.500 6.34066E-13
1023.500 4.91042E-13
1024.500 3.03948E-13
1025.500 5.18324E-14
1026.500 1.79207E-13
1027.500 4.31125E-13
1028.500 5.80572E-13
1029.500 7.66782E-13
1030.500 8.40013E-13
1031.500 8.89209E-13
1032.500 9.67915E-13
1033.500 1.00108E-12
1034.500 1.03637E-12
1035.500 1.05925E-12
1036.500 8.58219E-13
1037.500 9.67376E-13
1038.500 1.13012E-12
1039.500 1.16672E-12
1040.500 1.16844E-12
1041.500 1.20862E-12
1042.500 1.21352E-12
1043.500 1.16399E-12
1044.500 1.21654E-12
1045.500 1.23211E-12
1046.500 1.30145E-12
1047.500 1.31126E-12
1048.500 1.25255E-12
1049.500 1.32494E-12
1050.500 1.37777E-12
1051.500 1.39290E-12
1052.500 1.36101E-12
1053.500 1.39983E-12
1054.500 1.46163E-12
1055.500 1.43002E-12
1056.500 1.50026E-12
1057.500 1.54118E-12
1058.500 1.57363E-12
1059.500 1.49689E-12
1060.500 1.52387E-12
1061.500 1.62548E-12
1062.500 1.59135E-12
1063.500 1.45420E-12
1064.500 1.65207E-12
1065.500 1.60332E-12
1066.500 1.61073E-12
1067.500 1.57491E-12
1068.500 1.57708E-12
1069.500 1.66098E-12
1070.500 1.77182E-12
1071.500 1.70638E-12
1072.500 1.86009E-12
1073.500 1.71592E-12
1074.500 1.85009E-12
1075.500 1.80539E-12
1076.500 1.88702E-12
1077.500 1.96995E-12
1078.500 1.97266E-12
1079.500 1.98875E-12
1080.500 2.04974E-12
1081.500 1.99694E-12
1082.500 2.10573E-12
1083.500 1.98339E-12
1084.500 1.95046E-12
